"ArtistID","ArtistName","SoundCloudFollowers","SpotifyListenerFollowerRatio","SpotifyMonthlyListeners","SpotifyPopularity","YoutubeChannelViews"
"1087336","Увула","5644","3.412818777","151222","50",
"774097","Moderup",,"3.117483354","151226","50",
"197804","Konoba","4405","6.203740925","151241","45","49346387"
"311034","Fred Arrais","27","2.734056399","151248","43","9743923"
"131064","3rd Prototype","12138","11.830660931","151255","46","1478357"
"576442","Anmoll Mallik",,"322.535181237","151269","42",
"482400","The Human Beinz","23","13.875894331","151275","43","1222670"
"19191","Sweet California",,"0.5705127238","151284","44","324872002"
"311454","Jerome Sydenham","22051","64.551194539","151308","42",
"1414940","Murda",,"11.917848141","151309","49",
"507782","Killshot",,"11.536672766","151315","47",
"313101","Vado",,"1.919547375","151316","49",
"63286","Leon Lai",,"2.59597571","151335","50",
"18684","Henri Dès",,"8.599090909","151344","54","53838917"
"308313","Glasvegas","2064","3.014139201","151355","45","11926067"
"1468724","Crafting Audio",,"525.545138889","151357","63",
"2125","Tyler Hilton","109","1.893045186","151366","45","9169285"
"3603613","Mariana Lucci",,"75685","151370","45",
"298845","Juno",,"13.354565505","151374","49","6612574"
"755697","Asher",,"20.519859021","151375","46",
"187523","Bosq","3354","13.057620978","151377","44",
"207711","This Patch of Sky","681","12.383149284","151384","42","204882"
"145902","3 Hürel",,"2.056043673","151405","43",
"165944","Meli'sa Morgan",,"1.660780292","151415","44",
"148946","Stage Republic","545","453.380239521","151429","42","5528"
"476437","Cavo",,"3.646942658","151432","43","3690797"
"209385","David Tort","36486","9.422686827","151432","43","1114141"
"290358","Corry Konings",,"5.804960325","151434","48","4043357"
"43898","Fonos","10","14.526376367","151452","52",
"37830","Cyberpunkers","47998","5.873191918","151452","44","6174889"
"4259","Madilyn","151046","0.4414266854","151461","44","1104637718"
"4062175","TINI LIN",,"36.736842105","151466","48",
"209129","Grupo Escolta","373","0.8685692332","151475","44","4757565"
"143485","Scavenger Hunt","11075","6.185218457","151476","44",
"305974","Carsten Dahl",,"92.088145897","151485","45",
"1635196","Reuben James","846","19.592084842","151486","43",
